season,date,season.week,total.cases
2000,1/8/2000,1,17
2000,1/15/2000,2,10
2000,1/22/2000,3,15
2000,1/29/2000,4,14
2000,2/5/2000,5,13
2000,2/12/2000,6,19
2000,2/19/2000,7,4
2000,2/26/2000,8,16
2000,3/4/2000,9,14
2000,3/11/2000,10,11
2000,3/18/2000,11,3
2000,3/25/2000,12,12
2000,4/1/2000,13,6
2000,4/8/2000,14,4
2000,4/15/2000,15,8
2000,4/22/2000,16,8
2000,4/29/2000,17,12
2000,5/6/2000,18,11
2000,5/13/2000,19,7
2000,5/20/2000,20,13
2000,5/27/2000,21,7
2000,6/3/2000,22,8
2000,6/10/2000,23,14
2000,6/17/2000,24,10
2000,6/24/2000,25,11
2000,7/1/2000,26,21
2000,7/8/2000,27,13
2000,7/15/2000,28,12
2000,7/22/2000,29,13
2000,7/29/2000,30,17
2000,8/5/2000,31,23
2000,8/12/2000,32,11
2000,8/19/2000,33,20
2000,8/26/2000,34,20
2000,9/2/2000,35,10
2000,9/9/2000,36,11
2000,9/16/2000,37,7
2000,9/23/2000,38,27
2000,9/30/2000,39,18
2000,10/7/2000,40,13
2000,10/14/2000,41,14
2000,10/21/2000,42,11
2000,10/28/2000,43,8
2000,11/4/2000,44,14
2000,11/11/2000,45,11
2000,11/18/2000,46,15
2000,11/25/2000,47,18
2000,12/2/2000,48,8
2000,12/9/2000,49,8
2000,12/16/2000,50,13
2000,12/23/2000,51,22
2000,12/30/2000,52,18
2001,1/6/2001,1,11
2001,1/13/2001,2,22
2001,1/20/2001,3,24
2001,1/27/2001,4,15
2001,2/3/2001,5,26
2001,2/10/2001,6,15
2001,2/17/2001,7,22
2001,2/24/2001,8,33
2001,3/3/2001,9,29
2001,3/10/2001,10,29
2001,3/17/2001,11,47
2001,3/24/2001,12,37
2001,3/31/2001,13,29
2001,4/7/2001,14,29
2001,4/14/2001,15,15
2001,4/21/2001,16,39
2001,4/28/2001,17,33
2001,5/5/2001,18,37
2001,5/12/2001,19,40
2001,5/19/2001,20,42
2001,5/26/2001,21,65
2001,6/2/2001,22,40
2001,6/9/2001,23,40
2001,6/16/2001,24,36
2001,6/23/2001,25,77
2001,6/30/2001,26,55
2001,7/7/2001,27,126
2001,7/14/2001,28,69
2001,7/21/2001,29,79
2001,7/28/2001,30,78
2001,8/4/2001,31,90
2001,8/11/2001,32,76
2001,8/18/2001,33,100
2001,8/25/2001,34,64
2001,9/1/2001,35,63
2001,9/8/2001,36,86
2001,9/15/2001,37,83
2001,9/22/2001,38,55
2001,9/29/2001,39,52
2001,10/6/2001,40,51
2001,10/13/2001,41,51
2001,10/20/2001,42,35
2001,10/27/2001,43,31
2001,11/3/2001,44,35
2001,11/10/2001,45,37
2001,11/17/2001,46,32
2001,11/24/2001,47,41
2001,12/1/2001,48,26
2001,12/8/2001,49,41
2001,12/15/2001,50,35
2001,12/22/2001,51,26
2001,12/29/2001,52,17
2002,1/5/2002,1,20
2002,1/12/2002,2,23
2002,1/19/2002,3,23
2002,1/26/2002,4,19
2002,2/2/2002,5,20
2002,2/9/2002,6,18
2002,2/16/2002,7,12
2002,2/23/2002,8,27
2002,3/2/2002,9,19
2002,3/9/2002,10,12
2002,3/16/2002,11,32
2002,3/23/2002,12,17
2002,3/30/2002,13,25
2002,4/6/2002,14,41
2002,4/13/2002,15,40
2002,4/20/2002,16,33
2002,4/27/2002,17,41
2002,5/4/2002,18,45
2002,5/11/2002,19,64
2002,5/18/2002,20,58
2002,5/25/2002,21,79
2002,6/1/2002,22,55
2002,6/8/2002,23,50
2002,6/15/2002,24,58
2002,6/22/2002,25,62
2002,6/29/2002,26,54
2002,7/6/2002,27,91
2002,7/13/2002,28,105
2002,7/20/2002,29,113
2002,7/27/2002,30,114
2002,8/3/2002,31,136
2002,8/10/2002,32,83
2002,8/17/2002,33,154
2002,8/24/2002,34,147
2002,8/31/2002,35,156
2002,9/7/2002,36,144
2002,9/14/2002,37,159
2002,9/21/2002,38,139
2002,9/28/2002,39,129
2002,10/5/2002,40,124
2002,10/12/2002,41,141
2002,10/19/2002,42,121
2002,10/26/2002,43,110
2002,11/2/2002,44,101
2002,11/9/2002,45,95
2002,11/16/2002,46,99
2002,11/23/2002,47,96
2002,11/30/2002,48,96
2002,12/7/2002,49,72
2002,12/14/2002,50,87
2002,12/21/2002,51,115
2002,12/28/2002,52,64
2003,1/4/2003,1,68
2003,1/11/2003,2,104
2003,1/18/2003,3,96
2003,1/25/2003,4,86
2003,2/1/2003,5,89
2003,2/8/2003,6,64
2003,2/15/2003,7,89
2003,2/22/2003,8,89
2003,3/1/2003,9,100
2003,3/8/2003,10,62
2003,3/15/2003,11,93
2003,3/22/2003,12,86
2003,3/29/2003,13,65
2003,4/5/2003,14,98
2003,4/12/2003,15,65
2003,4/19/2003,16,55
2003,4/26/2003,17,76
2003,5/3/2003,18,38
2003,5/10/2003,19,81
2003,5/17/2003,20,96
2003,5/24/2003,21,127
2003,5/31/2003,22,189
2003,6/7/2003,23,258
2003,6/14/2003,24,165
2003,6/21/2003,25,165
2003,6/28/2003,26,131
2003,7/5/2003,27,144
2003,7/12/2003,28,128
2003,7/19/2003,29,78
2003,7/26/2003,30,75
2003,8/2/2003,31,62
2003,8/9/2003,32,63
2003,8/16/2003,33,64
2003,8/23/2003,34,83
2003,8/30/2003,35,93
2003,9/6/2003,36,50
2003,9/13/2003,37,79
2003,9/20/2003,38,61
2003,9/27/2003,39,78
2003,10/4/2003,40,67
2003,10/11/2003,41,75
2003,10/18/2003,42,67
2003,10/25/2003,43,74
2003,11/1/2003,44,98
2003,11/8/2003,45,100
2003,11/15/2003,46,94
2003,11/22/2003,47,90
2003,11/29/2003,48,60
2003,12/6/2003,49,67
2003,12/13/2003,50,94
2003,12/20/2003,51,83
2003,12/27/2003,52,71
2003,1/3/2004,53,53
2004,1/10/2004,1,81
2004,1/17/2004,2,83
2004,1/24/2004,3,56
2004,1/31/2004,4,80
2004,2/7/2004,5,66
2004,2/14/2004,6,62
2004,2/21/2004,7,60
2004,2/28/2004,8,53
2004,3/6/2004,9,65
2004,3/13/2004,10,53
2004,3/20/2004,11,34
2004,3/27/2004,12,41
2004,4/3/2004,13,41
2004,4/10/2004,14,36
2004,4/17/2004,15,97
2004,4/24/2004,16,82
2004,5/1/2004,17,89
2004,5/8/2004,18,137
2004,5/15/2004,19,118
2004,5/22/2004,20,92
2004,5/29/2004,21,127
2004,6/5/2004,22,148
2004,6/12/2004,23,131
2004,6/19/2004,24,152
2004,6/26/2004,25,155
2004,7/3/2004,26,160
2004,7/10/2004,27,189
2004,7/17/2004,28,217
2004,7/24/2004,29,218
2004,7/31/2004,30,221
2004,8/7/2004,31,308
2004,8/14/2004,32,257
2004,8/21/2004,33,279
2004,8/28/2004,34,328
2004,9/4/2004,35,271
2004,9/11/2004,36,306
2004,9/18/2004,37,260
2004,9/25/2004,38,318
2004,10/2/2004,39,299
2004,10/9/2004,40,235
2004,10/16/2004,41,265
2004,10/23/2004,42,305
2004,10/30/2004,43,257
2004,11/6/2004,44,256
2004,11/13/2004,45,188
2004,11/20/2004,46,259
2004,11/27/2004,47,310
2004,12/4/2004,48,296
2004,12/11/2004,49,302
2004,12/18/2004,50,328
2004,12/25/2004,51,288
2004,1/1/2005,52,242
2005,1/8/2005,1,311
2005,1/15/2005,2,296
2005,1/22/2005,3,202
